"Subject_id" "Label" "average"
1 "WALKING_UPSTAIRS" -0.409996079797252
2 "WALKING_UPSTAIRS" -0.367248528734042
3 "WALKING_UPSTAIRS" -0.427456329593471
4 "WALKING_UPSTAIRS" -0.417624337156991
5 "WALKING_UPSTAIRS" -0.358423610887882
6 "WALKING_UPSTAIRS" -0.333081164462476
7 "WALKING_UPSTAIRS" -0.431305590102024
8 "WALKING_UPSTAIRS" -0.295134374020442
9 "WALKING_UPSTAIRS" -0.430396533811364
10 "WALKING_UPSTAIRS" -0.347367779296221
11 "WALKING_UPSTAIRS" -0.438317147085999
12 "WALKING_UPSTAIRS" -0.424859815395502
13 "WALKING_UPSTAIRS" -0.415378200867598
14 "WALKING_UPSTAIRS" -0.288470341774426
15 "WALKING_UPSTAIRS" -0.396130815051973
16 "WALKING_UPSTAIRS" -0.443730523108791
17 "WALKING_UPSTAIRS" -0.405075064588242
18 "WALKING_UPSTAIRS" -0.474362722653702
19 "WALKING_UPSTAIRS" -0.319217838781451
20 "WALKING_UPSTAIRS" -0.341043770448517
21 "WALKING_UPSTAIRS" -0.38559645683017
22 "WALKING_UPSTAIRS" -0.307075912802653
23 "WALKING_UPSTAIRS" -0.372320163644077
24 "WALKING_UPSTAIRS" -0.439273462229997
25 "WALKING_UPSTAIRS" -0.488590300342634
26 "WALKING_UPSTAIRS" -0.414186820642361
27 "WALKING_UPSTAIRS" -0.429836537168602
28 "WALKING_UPSTAIRS" -0.40470608767048
29 "WALKING_UPSTAIRS" -0.366392342403301
30 "WALKING_UPSTAIRS" -0.442367840001306
1 "WALKING_DOWNSTAIRS" -0.299199781388157
2 "WALKING_DOWNSTAIRS" -0.262072799335994
3 "WALKING_DOWNSTAIRS" -0.353335608893041
4 "WALKING_DOWNSTAIRS" -0.36613026811102
5 "WALKING_DOWNSTAIRS" -0.298326096982265
6 "WALKING_DOWNSTAIRS" -0.199916751536367
7 "WALKING_DOWNSTAIRS" -0.319417157771562
8 "WALKING_DOWNSTAIRS" -0.194730619558602
9 "WALKING_DOWNSTAIRS" -0.314958979843159
10 "WALKING_DOWNSTAIRS" -0.264538946093157
11 "WALKING_DOWNSTAIRS" -0.350853325817022
12 "WALKING_DOWNSTAIRS" -0.313571161792128
13 "WALKING_DOWNSTAIRS" -0.319518750670218
14 "WALKING_DOWNSTAIRS" -0.205403106257429
15 "WALKING_DOWNSTAIRS" -0.281869803210685
16 "WALKING_DOWNSTAIRS" -0.341489714507385
17 "WALKING_DOWNSTAIRS" -0.36757288409088
18 "WALKING_DOWNSTAIRS" -0.441921314186315
19 "WALKING_DOWNSTAIRS" -0.0790209311773499
20 "WALKING_DOWNSTAIRS" -0.248988814653656
21 "WALKING_DOWNSTAIRS" -0.294200980276866
22 "WALKING_DOWNSTAIRS" -0.28973148649803
23 "WALKING_DOWNSTAIRS" -0.203640900596274
24 "WALKING_DOWNSTAIRS" -0.361396496394536
25 "WALKING_DOWNSTAIRS" -0.432513510264692
26 "WALKING_DOWNSTAIRS" -0.324062399827088
27 "WALKING_DOWNSTAIRS" -0.314716531336566
28 "WALKING_DOWNSTAIRS" -0.293746517402189
29 "WALKING_DOWNSTAIRS" -0.318691194583733
30 "WALKING_DOWNSTAIRS" -0.360688593013237
1 "WALKING" -0.321275612511631
2 "WALKING" -0.388382386543109
3 "WALKING" -0.389836321655481
4 "WALKING" -0.433138788077815
5 "WALKING" -0.380579904495349
6 "WALKING" -0.339271567036729
7 "WALKING" -0.308769838878629
8 "WALKING" -0.301660291798039
9 "WALKING" -0.37401637971105
10 "WALKING" -0.328661385767773
11 "WALKING" -0.434269870983582
12 "WALKING" -0.357777831018801
13 "WALKING" -0.319437825797999
14 "WALKING" -0.389143122873239
15 "WALKING" -0.392862846482696
16 "WALKING" -0.434427751834126
17 "WALKING" -0.390014113190661
18 "WALKING" -0.439446475203642
19 "WALKING" -0.239561651475214
20 "WALKING" -0.261219348736779
21 "WALKING" -0.33342028470304
22 "WALKING" -0.275734140069538
23 "WALKING" -0.266786713415401
24 "WALKING" -0.419576063863897
25 "WALKING" -0.463804354568792
26 "WALKING" -0.394115608186058
27 "WALKING" -0.380372733364451
28 "WALKING" -0.396818151138991
29 "WALKING" -0.3546320981169
30 "WALKING" -0.375705635728694
1 "LAYING" -0.612332340466629
2 "LAYING" -0.645107914844579
3 "LAYING" -0.646359011006251
4 "LAYING" -0.635836670468716
5 "LAYING" -0.636692784446749
6 "LAYING" -0.624385804712601
7 "LAYING" -0.633428400087623
8 "LAYING" -0.631945367137642
9 "LAYING" -0.634130505202395
10 "LAYING" -0.641058200466561
11 "LAYING" -0.64844787118941
12 "LAYING" -0.635261142399733
13 "LAYING" -0.629033241842995
14 "LAYING" -0.633021143304936
15 "LAYING" -0.645052566005733
16 "LAYING" -0.641267905210452
17 "LAYING" -0.634418317004288
18 "LAYING" -0.649882570033707
19 "LAYING" -0.63825541008706
20 "LAYING" -0.649474360438147
21 "LAYING" -0.635766307024494
22 "LAYING" -0.637094117567125
23 "LAYING" -0.633071880777468
24 "LAYING" -0.639117757748191
25 "LAYING" -0.594230925328527
26 "LAYING" -0.645881964668043
27 "LAYING" -0.651046076398566
28 "LAYING" -0.647536906476095
29 "LAYING" -0.651148798668786
30 "LAYING" -0.647604127087459
1 "SITTING" -0.637542122585768
2 "SITTING" -0.644934164669653
3 "SITTING" -0.626932831753698
4 "SITTING" -0.631041729794822
5 "SITTING" -0.630934560582782
6 "SITTING" -0.629663498288728
7 "SITTING" -0.632822900657805
8 "SITTING" -0.641845874911687
9 "SITTING" -0.631717641615667
10 "SITTING" -0.644744635752054
11 "SITTING" -0.640230669495649
12 "SITTING" -0.64058799521475
13 "SITTING" -0.642481298801651
14 "SITTING" -0.644493403516179
15 "SITTING" -0.645895263014745
16 "SITTING" -0.646746890532889
17 "SITTING" -0.648338820397148
18 "SITTING" -0.654414176450617
19 "SITTING" -0.643319856154061
20 "SITTING" -0.644094326143004
21 "SITTING" -0.649397854307876
22 "SITTING" -0.638231842741213
23 "SITTING" -0.637053183145889
24 "SITTING" -0.6508124526547
25 "SITTING" -0.649541299407279
26 "SITTING" -0.646875646055045
27 "SITTING" -0.651523446014918
28 "SITTING" -0.641930043271854
29 "SITTING" -0.648223128585004
30 "SITTING" -0.650296379426338
1 "STANDING" -0.652306852397893
2 "STANDING" -0.64171103249626
3 "STANDING" -0.631637372934018
4 "STANDING" -0.622953514962898
5 "STANDING" -0.622904551926663
6 "STANDING" -0.634227460318349
7 "STANDING" -0.638164627978797
8 "STANDING" -0.644096595852428
9 "STANDING" -0.638199096045552
10 "STANDING" -0.635553124170886
11 "STANDING" -0.653061608025107
12 "STANDING" -0.632438575188582
13 "STANDING" -0.644279878749233
14 "STANDING" -0.63908986218112
15 "STANDING" -0.644935455718951
16 "STANDING" -0.651464731920512
17 "STANDING" -0.650251321285966
18 "STANDING" -0.650360949977218
19 "STANDING" -0.644914065269297
20 "STANDING" -0.624836364897234
21 "STANDING" -0.643954628467615
22 "STANDING" -0.640689363269173
23 "STANDING" -0.641921298014374
24 "STANDING" -0.63872790075342
25 "STANDING" -0.649946862199332
26 "STANDING" -0.648579929593671
27 "STANDING" -0.649016484412645
28 "STANDING" -0.632665245361009
29 "STANDING" -0.654741765617161
30 "STANDING" -0.635161426830523
